YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1968,2,25,3,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1968,2,25,3,5,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1968,2,25,4,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1968,2,25,10,,,-6.09,-38.44,0,0,0,-1,,C,,,RN,S.DOSMACACOS,,
1968,2,27,,,,-6.12,-38.44,0,0,0,-1,,C,,,RN,JARDIM VARIOS NA NOITE 27/28,,
1968,2,28,14,,,-6.12,-38.44,0,0,0,-1,,C,,,RN,JARDIM VARIOS ENTRE 10 E 12H,,
1968,3,,,,,-6.92,-39.58,0,0,3,4,mI,C,4,,CE,FARIAS BRITO,,
1968,3,1,,,,-6.09,-38.37,0,0,0,-1,,C,,,RN,DR.SEVERIANO VARIOS,,
1968,3,3,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO VARIOS ATE 6/03,,
1968,3,18,,,,-6.04,-38.46,0,0,3.7,4,mI,C,5.5,,CE,PEREIRO,,
1968,5,1,6,12,9,-23.3,-58.9,200,0,4.1,0,mb,I,,,EX,PARAGUAI (ISC),,
1968,6,24,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO VARIOS EVENTOS,,
1968,8,,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO VARIOS EVENTOS,,
1968,8,27,5,17,36,-8.9,-72.89,30,26,4.9,0,mb,I,,,AC,W DO ACRE (ISC H=50 ?),,
1969,,,16,,,-16.45,-54.64,0,0,2.3,4,mI,C,3.5,,MT,"RONDONOPOLIS ANO INCERTO, 1974?",,
1969,3,5,16,28,55,-23.1,-60.6,100,0,4.1,0,mb,I,,,EX,PARAGUAI (ISC),,
1969,4,26,,,,-4.15,-38.8,5,0,0,-1,,C,,,CE,PALMACIA DIA INCERTO; VARIOS ATE',,
1969,5,19,,,,-4.15,-38.8,5,0,0,-1,,C,,,CE,"PALMACIA 23/05, COM RACHADURAS(?)",,
1969,5,20,,,,-4.15,-38.8,5,0,0,-1,,C,,,CE,PALMACIA NO SOLO.,,
1969,5,21,,,,-4.15,-38.8,5,0,0,-1,,C,,,CE,PALMACIA,,
1969,5,23,,,,-4.15,-38.8,5,0,0,-1,,C,,,CE,PALMACIA,,
1969,7,16,,,,-18.18,-42.41,0,0,0,-1,,C,,,MG,"S.M. SUACUI' FOCO SUPERFICIAL, VII ??",,
1969,11,7,9,28,54,-37,-43.8,250,0,5,0,mb,I,,,RS,ATLANTICO (ISC),,
1970,1,12,4,43,8,-1.32,-48.48,30,0,4.5,2,mbR,B,6.5,10,PA,"BELEM (ISC,IAG,UnB) MAIS 4 EV.",,
1970,1,29,,,,-7.96,-36.21,0,0,3.9,4,mI,C,6,,PE,S.C.CAPIBARI DOIS EVENTOS,,
1970,1,30,,,,-7.96,-36.21,0,0,3.5,4,mI,C,5,,PE,S.C.CAPIBARI,,
1970,2,6,11,,,-18.44,-42.59,0,0,0,-1,,C,,,MG,"S.P. SUACUI' FOCO SUPERFICIAL, VII ??",,
1970,2,6,19,,,-18.44,-42.59,0,0,0,-1,,C,,,MG,S.P. SUACUI',,
1970,3,29,8,27,48,-8.29,-73.38,50,25,4.3,0,mb,I,,,AC,SA. DIVISOR (ISC),,
1970,6,12,,,,-22.01,-50.39,0,0,0,-1,,C,,,SP,HERCULANDIA INDUZIDO POCO ARTESIANO?,,
1970,8,14,4,59,1,-13.5,-49.1,50,0,3,5,mEst,I,,,GO,PORANGATU (BERROCAL 1974) N. SENT.,,
1970,11,,,,,-6.93,-35.53,0,0,3.9,4,mI,C,6,,PB,ALAGOINHA,,
1970,11,20,23,55,21,-13.5,-49.1,50,0,3.6,5,mEst,I,,,GO,PORANGATU (BERROCAL 1974) N. SENT.,,
1970,12,,,,,-20.28,-44.75,3,0,3.4,3,mA,B,4,0.7,MG,C.DO CAJURU INDUZIDO,,
1971,,,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1971,2,11,,,,-25.1,-48.9,0,0,3,4,mI,C,4,,PR,CAPIV-CACHOE INDUZIDO POR RESERVATORIO,,
1971,3,,,,,-25.25,-48.8,0,0,3.7,4,mI,C,5.5,,PR,CAPIV-CACHOE VARIOS; INDUZ.P.RESERVAT.,,
1971,5,1,6,54,50,-21,-59.5,200,0,4.1,0,mb,I,,,EX,PARAGUAI (ISC),,
1971,5,5,15,32,2,-17,-53.8,100,0,3.6,1,mR,I,,,MT,"ALTO GARCAS (UnB, mag=3.35+0.25) SENT. RONDONOPOLIS?",,
1971,5,21,16,,,-25.1,-48.9,0,0,3.9,4,mI,C,6,,PR,CAPIV-CACHOE INDUZIDO POR RESERVATORIO,,
1971,7,16,19,51,4,-13.5,-49.1,50,0,3.5,5,mEst,I,,,GO,PORANGATU (BERROCAL 1974) N. SENT.,,
1971,8,5,2,30,,-8.04,-34.9,0,0,3,5,mEst,C,5,,PE,RECIFE 5 EV. (BERROCAL 1974),,
1971,8,8,13,32,39,-20.28,-44.75,0,0,3.5,5,mEst,C,5.5,,MG,C.DO CAJURU INDUZIDO POR RESERVATORIO,,
1971,9,23,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO,,
1972,1,23,3,3,51,-20.28,-44.75,5,0,3.7,1,mR,B,6,3.2,MG,C. DO CAJURU INDUZIDO POR RESERVATORIO,,
1972,1,26,13,36,57,-18.2,-39.8,200,0,3.3,5,mEst,I,,,BA,S. DA BAHIA? (BERROCAL 1974),,
1972,1,29,3,34,46,-16,-51,100,0,3,5,mEst,I,,,GO,SW DE GOIAS? (BERROCAL 1974),,
1972,2,,,,,-9.93,-36.49,0,0,0,-1,,C,,,AL,JUNQUEIRO,,
1972,2,27,19,24,14,-11.2,-36.6,300,0,3.9,0,mb,I,,,AL,"NORDESTE ? (ISM72, IAG) DUVIDOSO",,
1972,3,4,21,45,,-9.93,-36.49,0,0,3.4,3,mA,C,5,0.7,AL,JUNQUEIRO,,
1972,4,8,4,20,,-22.91,-43.21,0,0,0,-1,,C,,,RJ,R.DE JANEIRO,,
1972,6,4,4,30,,-6.21,-38.5,0,0,3,4,mI,C,4,,RN,SAO MIGUEL,,
1972,8,,,,,-16.47,-41.7,0,0,3.9,4,mI,C,6,,MG,TUPARECE VARIOS EVENTOSE,,
1972,10,24,15,36,36,-21.72,-40.53,30,8,4.8,2,mbR,A,,210,RJ,"CAMPOS (ISC,IAG) RELOCAL., Campos V MM",,
1972,12,16,,,,-6.04,-38.46,0,0,0,-1,,C,,,CE,PEREIRO VARIOS EVENTOS,,
1973,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1973,2,,,,,-5.28,-35.82,0,0,0,-1,,C,,,RN,"PARAZINHO MES INCERTO, 03/73?",,
1973,4,20,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1973,4,26,14,15,2,-5.28,-35.82,0,0,3.6,1,mR,C,,17,RN,PARAZINHO (UFRN),,
1973,4,26,18,54,57,-5.28,-35.82,0,0,3.6,1,mR,C,,17,RN,PARAZINHO (UFRN),,
1973,4,27,8,20,13,-5.28,-35.82,0,0,3,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,5,2,3,41,14,-5.28,-35.82,0,0,3,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,5,2,3,47,58,-5.28,-35.82,0,0,3.1,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,5,2,17,34,34,-5.28,-35.82,0,0,2.3,1,mR,C,4,,RN,PARAZINHO (UFRN)HORA NOTICIADA 12:30,,
1973,6,17,4,22,29,-5.28,-35.82,0,0,3,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,6,26,5,25,2,-5.28,-35.82,0,0,3.1,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,7,8,22,38,30,-13.41,-49.05,50,0,3.3,1,mR,I,,,GO,PORANGATU (UnB) NAO SENTIDO,,
1973,7,20,13,35,25,-5.28,-35.82,0,0,3.9,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,7,22,21,22,50,-5.28,-35.82,10,0,4.3,2,mbR,B,6.5,25,RN,PARAZINHO (UFRN) (LAO MB4.1),,
1973,7,22,21,33,27,-5.28,-35.82,0,0,3,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,7,23,13,27,10,-5.28,-35.82,0,0,3,1,mR,C,,,RN,PARAZINHO (UFRN) HORA NOTICIADA 11H,,
1973,7,23,23,35,51,-5.28,-35.82,0,0,3,1,mR,I,,,RN,PARAZINHO (UFRN) EPI. INFERIDO,,
1973,11,,,,,-20.04,-48.47,0,0,0,-1,,C,,,MG,CONC.ALAGOAS VARIOS-INDUZ.P.RESERVAT.,,
1974,2,3,20,20,23,-29.5,-42.54,30,0,4.4,0,mb,I,,,SC,ATLANTICO (ISC),,
1974,2,15,,,,-20.04,-48.47,0,0,3,4,mI,C,4,,MG,CONC.ALAGOAS INDUZIDO POR RESERVATORIO,,
1974,2,24,3,19,40,-20.04,-48.47,10,0,4.2,2,mbR,B,6.5,7,MG,CONC.ALAGOAS INDUZIDO POR RESERVATORIO,,
1974,2,24,13,,,-20.04,-48.47,0,0,0,-1,,C,,,MG,CONC.ALAGOAS INDUZIDO POR RESERVATORIO,,
1974,2,27,,,,-20.04,-48.47,0,0,3.5,4,mI,C,5,,MG,CONC.ALAGOAS INDUZIDO POR RESERVATORIO,,
1974,2,28,,,,-20.04,-48.47,0,0,0,-1,,C,,,MG,CONC.ALAGOAS 4 EVEN.-INDUZ.P.RESERVAT.,,
1974,3,,,,,-4.18,-38.13,0,0,0,-1,,C,,,CE,BEBERIBE VARIOS EVENTOS,,
1974,3,,,,,-5.71,-35.75,0,0,0,-1,,C,,,RN,RIACHUELO,,
1974,3,1,9,,,-20.04,-48.47,0,0,3.2,4,mI,C,4.5,,MG,CONC.ALAGOAS INDUZIDO POR RESERVATORIO,,
1974,3,2,18,15,,-20.04,-48.47,0,0,3.5,4,mI,C,5,,MG,CONC.ALAGOAS 4 EVEN.-INDUZ.P.RESERVAT.,,
1974,3,20,,,,-29.45,-51.5,0,0,3,4,mI,C,4,,RS,SALV.DO SUL,,
1974,3,23,19,30,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL,,
1974,3,24,,,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL 2 EVENTOS A TARDE,,
1974,3,24,5,30,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL OUTRO AS 08H,,
1974,3,25,,,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL,,
1974,4,8,,,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL TRES EVENTOS,,
1974,4,10,,,,-29.45,-51.5,0,0,0,-1,,C,,,RS,SALV.DO SUL TRES EVENTOS,,
1974,4,11,,,,-16.42,-41.64,5,0,3.7,3,mA,C,6.5,2.8,MG,"TUPARECE + DE 200 EM ABRIL/74, INT.< V (!?)",,
1974,4,20,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI,,
1974,6,8,,,,-16.47,-41.7,0,0,0,-1,,C,,,MG,TUPARECE DOIS EVENTOS,,
1974,6,12,17,39,16,5.58,-60.6,50,0,3.9,1,mR,I,,,EX,"GUIANA/RR (ISC, TRN)",,
1974,7,,,,,-28.66,-56,0,0,0,-1,,C,,,RS,SAO BORJA,,
1974,8,6,21,22,37,-29.2,-60.9,300,0,4.2,0,mb,I,,,EX,NE ARGENTINA (ISC),,
1974,10,20,21,37,32,-7.99,-36.06,10,0,3.6,1,mR,C,5,0.5,PE,TORITAMA (UFRN),,
1974,10,20,21,41,25,0,0,200,0,2.8,1,mR,I,,,EX,870KM DE BDF (UnB),,
1974,10,20,21,59,0,-7.99,-36.06,0,0,2.9,1,mR,I,,,PE,TORITAMA EPICENTRO INFERIDO(UFRN),,
1974,10,20,23,2,42,-7.99,-36.06,0,0,2.7,1,mR,I,,,PE,TORITAMA EPICENTRO INFERIDO(UFRN),,
1974,10,21,2,18,11,-7.99,-36.06,0,0,2.8,1,mR,C,,,PE,TORITAMA (UFRN) NOTICIADO 22:30,,
1974,10,21,2,29,41,-7.99,-36.06,0,0,2.7,1,mR,I,,,PE,TORITAMA EPICENTRO INFERIDO(UFRN),,
1974,10,21,4,27,40,0,0,200,0,3.4,1,mR,I,,,EX,1100KM BDF (UnB),,
1974,10,23,2,,,-7.99,-36.06,0,0,0,-1,,C,,,PE,TORITAMA,,
1974,10,23,4,,,-7.99,-36.06,0,0,0,-1,,C,,,PE,TORITAMA,,
1974,12,15,5,14,46,-3.67,-39.24,0,0,3.3,1,mR,C,6,,CE,S.L. DO CURU (UFRN),,
1974,12,18,9,31,12,-4,-43,300,0,3.6,1,mR,I,,,MA,MARANHAO ? (UnB) N.SENT.TUCURUI,,
1975,,,,,,-5.71,-35.75,0,0,0,-1,,C,,,RN,RIACHUELO,,
1975,1,23,11,40,24,-10.7,-62,200,0,4.1,0,mb,I,,,RO,N RONDONIA (ISC),,
1975,2,4,19,1,17,5.99,-61.48,50,0,3.7,2,mbR,I,,,EX,"VENEZUELA/RR (ISC,TRN)",,
1975,3,30,17,6,0,-23.4,-42.4,30,0,3.5,1,mR,I,,,RJ,PLAT. CONT. (IAG),,
1975,5,18,5,42,18,-4,-59,300,0,4.4,0,mb,I,,,AM,LESTE AM (ISC),,
1975,6,22,14,4,44,1.5,-70.3,50,0,3.5,5,mEst,I,,,EX,COLOMBIA/AM (ISC),,
1975,6,27,2,26,35,-25.8,-58.2,100,0,4.4,0,mb,I,,,EX,NE ARGENTINA (ISC) TALVEZ EV. FALSO,,
1975,7,1,,,,-22.62,-52.84,0,0,0,-1,,C,,,PR,DIAM.DONORTE INDUZIDO POCO ARTESIANO?,,
1975,8,11,,,,-22.62,-52.84,0,0,0,-1,,C,,,PR,DIAM.DONORTE VARIOS-INDUZ.POCO ARTES.?,,
1975,8,19,,,,-25.3,-49.3,0,0,0,-1,,C,,,PR,A.TAMANDARE' VARIOS;DESAB. DE CAVERNA?,,
1975,12,8,8,21,26,-24.94,-44.16,30,0,3.4,1,mR,I,,,SP,PLAT. CONT. (UnB),,
1976,1,,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1976,1,5,13,6,58,-15.35,-50.46,15,0,3.7,1,mR,I,5.5,13,GO,ITAPIRAPUAN (UnB: mag BDF=3.2+0.5),,
1976,1,23,,,,-24.52,-50.42,0,0,3,4,mI,C,4,,PR,TIBAGI,,
1976,2,22,3,24,50,0.34,-59.23,30,5,4.6,0,mb,I,,,RR,SE RORAIMA (ISC) RELOCAL.,,
1976,3,31,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1976,4,,,,,-25.62,-52.6,0,0,0,-1,,C,,,PR,SAL.SANTIAGO (UnB/ELETROSUL),,
1976,4,16,,,,-22.73,-50.98,0,0,3.7,4,mI,C,5.5,,SP,B. CAPIVARA INDUZIDO POR RESERVATORIO,,
1976,4,18,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1976,4,24,,,,-22.73,-50.98,0,0,0,-1,,C,,,SP,B. CAPIVARA INDUZIDO POR RESERVATORIO,,
1976,5,18,8,30,,-14.88,-39.63,20,0,3.7,3,mA,B,6,2.7,BA,IBICARAI' (IAG),,
1976,5,19,8,12,30,0,0,100,0,2.8,1,mR,I,,,BA,IBICARAI'? (UnB) 900KM DE BDF,,
1976,5,21,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI' IV MM EM ITABUNA,,
1976,5,23,19,0,,-20.28,-44.75,0,0,3.2,5,mEst,I,,,MG,C. CAJURU (UnB/CEMIG),,
1976,5,25,8,30,,-14.76,-39.57,20,0,3.9,3,mA,B,6,6.3,BA,IBICARAI' 2 EVENTOS (FERREIRA 1983),,
1976,6,8,,,,-5.7,-35.5,0,0,0,-1,,C,,,RN,IELM.MARINHO,,
1976,6,8,21,,,-5.7,-35.5,0,0,3.4,3,mA,C,,0.7,RN,IELM.MARINHO AREA APROX.,,
1976,6,12,,,,-22.84,-51.01,0,0,3.7,4,mI,C,5.5,,PR,PRIM.DE MAIO INDUZIDO POR RESERVATORIO,,
1976,6,13,5,,,-22.84,-51.01,0,0,3.7,4,mI,C,5.5,,PR,PRIM.DE MAIO INDUZIDO POR RESERVATORIO,,
1976,6,14,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO INDUZIDO POR RESERVATORIO,,
1976,6,15,12,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 4 EVEN.-INDUZ.P.RESERVAT.,,
1976,6,16,20,,,-22.84,-51.01,0,0,3.9,4,mI,C,6,,PR,PRIM.DE MAIO 5 EVEN.-INDUZ.P.RESERVAT.,,
1976,6,17,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 18 EV.- INDUZ.P.RESERVAT.,,
1976,6,20,,,,-22.73,-50.98,0,0,0,-1,,C,,,SP,IEPE VARIOS-INDUZ.P.RESERVAT.,,
1976,6,22,1,48,,-22.84,-51.01,0,0,3.5,4,mI,C,5,,PR,PRIM.DE MAIO 24 EV.-INDUZ.P.RESERVAT.,,
1976,6,22,15,45,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO VARIOS-INDUZ.P.RESERVAT.,,
1976,6,23,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 27 EV.-INDUZ.P.RESERVAT.,,
1976,6,25,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 3 EVENT.-INDUZ.P.RESERVAT,,
1976,6,26,12,13,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 12 EV.-INDUZ.P.RESERVAT.,,
1976,6,27,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO 3 EVEN.-INDUZ.P.RESERVAT.,,
1976,7,2,,,,-15.25,-40.25,0,0,0,-1,,C,,,BA,ITAPETINGA,,
1976,7,12,14,,,-15.25,-40.25,0,0,3.2,4,mI,C,4.5,,BA,ITAPETINGA,,
1976,7,27,21,,,-4.83,-38.8,0,0,3,4,mI,C,4,,CE,IBARETAMA,,
1976,7,29,18,,,-4.83,-38.8,0,0,3.5,4,mI,C,5,,CE,IBARETAMA OUTROS AS 17 E 18H,,
1976,8,,,,,-4.83,-38.8,0,0,0,-1,,C,,,CE,IBARETAMA VARIOS EVENTOS,,
1976,8,9,,,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI' DOIS EVENTOS,,
1976,8,11,20,,,-14.84,-39.6,0,0,3.5,4,mI,C,5,,BA,IBICARAI',,
1976,9,27,22,18,10,-16.7,-44.37,0,0,2.3,1,mR,C,4,,MG,COR.DE JESUS (UnB) REG. P/ BDF,,
1976,10,,,,,-14.84,-39.6,0,0,3.4,3,mA,C,,0.7,BA,IBICARAI' SEIS EVENTOS ENTRE 26-29,,
1976,10,8,20,1,12,-2,-59.8,50,0,4,1,mR,B,5,20,AM,BALBINA (UnB/ELETRONORTE),,
1976,11,,,,,-4.83,-38.8,0,0,0,-1,,C,,,CE,COITE OITO EVENTOS EM 20 DIAS,,
1977,,,,,,-22.84,-51.01,0,0,0,-1,,C,,,PR,PRIM.DE MAIO VARIOS-INDUZ.P.RESERVAT.,,
1977,1,15,9,38,40,-21.2,-44.8,30,0,2.1,1,mR,I,,,MG,BOM SUCESSO (VELOSO&MENDIGUREN 1980),,
1977,1,15,9,43,15,-21.2,-44.8,30,0,2.6,1,mR,I,,,MG,BOM SUCESSO (VELOSO&MENDIGUREN 1980),,
1977,2,1,7,10,25,-24.12,-44.31,40,0,2.6,1,mR,I,,,RJ,PLAT. CONT. (VELOSO&MEND.1980A; IAG),,
1977,2,24,,,,-5.71,-35.75,0,0,0,-1,,C,,,RN,RIACHUELO VARIOS EVENTOS ANTERIORM.,,
1977,2,25,13,40,,-5.71,-35.75,10,0,3.6,3,mA,B,6.5,1.4,RN,RIACHUELO MAIS TRES EVENTOS,,
1977,2,28,,,,-5.71,-35.75,0,0,0,-1,,C,,,RN,RIACHUELO,,
1977,3,12,7,,,-4.83,-38.8,0,0,3.9,4,mI,C,6,,CE,IBARETAMA,,
1977,6,19,3,3,30,-23.3,-42.6,30,0,3.5,1,mR,I,,,RJ,PLAT. CONT. (VELOSO&MENDIGUREN 1980A; IAG),,
1977,8,2,17,45,52,-0.08,-49.97,30,0,4.8,0,mb,I,,,PA,N.I.MARAJO (ISC) RELOCAL.,,
1977,9,4,15,45,,-20.73,-47.77,0,0,2.8,4,mI,C,3.5,,SP,NUPORANGA INDUZIDO (ANEXO 4),,
1977,11,2,12,,,-23.42,-45.6,0,0,2.8,4,mI,C,3.5,,SP,PARAIBUNA INDUZIDO (ANEXO ),,
1977,11,4,,,,-23.42,-45.6,0,0,3.1,5,mEst,C,4,,SP,PARAIBUNA INDUZIDO POR RESERVATORIO,,
1977,11,16,23,20,,-23.42,-45.6,0,0,3.3,5,mEst,C,4,,SP,"PARAIBUNA VARIOS, INDUZIDOS (UnB: 15:45, M=3.2)",,
1977,11,20,14,46,35,-15.8,-43.5,30,0,3.7,5,mEst,I,,,MG,JANAUBA (VELOSO&MENDIGUREN 1980A),,
1977,11,23,,,,-23.42,-45.6,0,0,0,-1,,C,,,SP,PARAIBUNA INDUZ.P/ RESERV.,,
1977,12,16,,,,-20.73,-47.77,0,0,0,-1,,C,,,SP,NUPORANGA VARIOS-INDUZ.POCO ARTES.,,
1978,2,10,,,,-6.28,-36.03,15,0,3.7,3,mA,B,5,2.4,RN,SANTA CRUZ DIA INCERTO; VARIOS EV.,,
1978,3,17,20,45,,-20.73,-47.77,0,0,3,4,mI,C,4,,SP,NUPORANGA INDUZIDO POCO ARTESIANO,,
1978,3,18,1,30,,-20.73,-47.77,0,0,3,4,mI,C,4,,SP,NUPORANGA INDUZIDO POCO ARTESIANO,,
1978,3,19,5,33,27,-24.96,-48.5,10,0,3.3,1,mR,B,4,2.7,SP,RIO VERMELHO,,
1978,4,18,,,,-10.89,-61.94,0,0,3.5,4,mI,C,5,,RO,JI-PARANA,,
1978,7,26,,,,-16.72,-43.86,0,0,0,-1,,C,,,MG,MONT. CLAROS,,
1978,10,5,9,38,44,-16.1,-51.27,50,0,2.8,1,mR,I,,,GO,IPORA' (UnB),,
1978,10,15,21,30,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1978,10,17,13,30,,-14.84,-39.6,0,0,0,-1,,C,,,BA,IBICARAI',,
1978,11,7,9,28,,-20.28,-44.75,0,0,2.6,5,mEst,I,,,MG,C. DO CAJURU (UnB),,
1979,1,16,5,38,24,-24,-58.7,50,0,4,1,mR,I,,,EX,"PARAGUAI (IAG,UnB)",,
1979,1,21,17,49,36,-21.02,-56.36,50,0,3.6,1,mR,I,,,MS,BONITO ? (ASSUMPCAO ET AL.1980B),,
1979,3,4,16,26,54,-21,-45,50,0,2.1,1,mR,I,,,MG,JACEABA (VELOSO&MENDIGUREN 1980A),,
1979,3,23,3,28,49,-23.3,-45.9,30,0,2.7,5,mEst,I,,,SP,S.J.CAMPOS ? (VELOSO&MENDIGUREN 1980A),,
1979,3,27,12,54,45,-22.84,-51.01,5,0,3.7,1,mR,A,5.5,1.3,PR,PRIM.DE MAIO INDUZIDO POR RESERVATORIO,,
1979,5,29,20,58,3,-9.73,-37.46,50,0,2.4,1,mR,I,,,AL,P.DE ACUCAR? (IAG),,
1979,6,13,16,52,45,-24.69,-45.73,15,0,2.8,1,mR,I,,,SP,"PLAT. CONT. (IAG, UnB)",,
1979,7,,,,,-4.6,-40.7,0,0,0,-1,,C,,,CE,IPUEIRAS VARIOS EVENTOS,,
1979,7,20,7,0,37,-24,-57.5,70,0,3,1,mR,I,,,EX,"PARAGUAI (IAG,UnB)",,
1979,8,13,18,41,0,-25.2,-45.6,30,0,3,1,mR,I,,,SP,PLAT. CONT. (ASSUMPCAO ET AL.1980B),,
1979,8,22,23,1,40,-15.26,-49.95,10,0,3.5,1,mR,B,4,5,GO,RUBIATABA (UnB) AREA IV MM,,
1979,10,16,21,12,23,-3.2,-29.7,200,0,3.5,1,mR,I,,,EX,ATLANTICO (IAG),,
1979,10,19,15,25,,-23.42,-45.6,0,0,3,4,mI,C,4,,SP,PARAIBUNA INDUZ. P/ RESERV.(UnB),,
1979,12,8,5,5,50,-20,-55.8,50,0,3.8,1,mR,I,,,MS,AQUIDAUANA ? (VELOSO&MEND.1980A; IAG),,
1979,12,21,21,23,14,0.5,-60,300,0,4.1,1,mR,I,,,RR,OU 4.5S 60.8 (VELOSO&MEND.1980A),,
1980,1,12,1,21,15,-8.3,-46.9,300,0,2.9,1,mR,I,,,GO,ITACAJA' ? (IAG),,
1980,3,6,9,46,18,-6.17,-71.16,30,18,4.8,0,mb,I,,,AM,"W AMAZONAS (ISC, H=67?)",,
1980,4,23,16,11,30,-26.5,-40,100,0,3.5,1,mR,I,,,SC,"OC.ATLANTICO (IAG, UnB)",,
1980,5,22,15,30,,-26.99,-48.62,0,0,2.5,5,mEst,C,5,0.5,SC,B. CAMBORIU VARIOS EVENTOS,,
1980,7,3,22,10,,-20.07,-47.33,2,0,2.8,3,mA,B,4,0.05,MG,JAGUARA (UnB/CEMIG)AREA=50KM2,,
1980,8,1,5,42,20,-20.48,-45.08,20,0,2.1,1,mR,I,,,MG,C. CAJURU (UnB),,
1980,9,3,1,36,3,-3.3,-60,100,0,3.4,1,mR,I,,,AM,MANAUS (VELOSO&MENDIGUREN 1980B),,
1980,10,18,21,41,,-0.4,-49.8,50,0,3.1,1,mR,I,,,PA,MARAJO' (UnB),,
1980,10,24,21,49,2,-14.41,-49.39,30,0,3.1,1,mR,I,,,GO,"PORANGATU ? (IAG, UnB) N. SENT.",,
1980,11,5,1,22,42,-5.8,-50.3,70,0,3.5,1,mR,I,,,PA,"SUL DO PARA' (IAG,UnB)",,
1980,11,12,21,23,5,-8.07,-50.24,20,0,4.7,2,mbR,C,5,,PA,REDENCAO (IAG; ISC MB=4.8),,
1980,11,14,3,38,20,-2.83,-49.13,300,0,2.8,1,mR,I,,,PA,(UnB),,
1980,11,19,7,38,56,-5.2,-38.3,100,0,2.8,1,mR,I,,,CE,MORADA NOVA? (IAG) PACAJUS??,,
1980,11,20,3,29,42,-4.3,-38.4,10,5,5.2,2,mbR,A,7,1000,CE,PACAJUS (ISC MB=5.2; IAG),,
1980,11,20,5,27,11,-4.3,-38.4,30,0,2.2,1,mR,I,,,CE,PACAJUS (IAG) EPI. INFERIDO,,
1980,11,21,1,29,7,-26.25,-58.25,50,0,3.8,1,mR,I,3,,EX,"FORMOSA,ARG. (IAG,UnB) SENT. FORMOSA",,
1980,11,21,21,28,44,-4.3,-38.4,30,0,2.4,1,mR,I,,,CE,PACAJUS (IAG) EPI. INFERIDO,,
1980,11,29,1,5,0,-3.1,-43.3,100,0,3.1,1,mR,I,,,MA,"URB.SANTOS ? (IAG,UnB)",,
1980,12,14,,,,-16.6,-56.2,0,0,3.6,3,mA,C,5,2,MT,SA.S.VICENTE DIA INCERTO,,
1980,12,14,1,25,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU REG. FRACO SOB.,,
