YEAR,MO,DD,HH,MM,SS,LAT,LON,ERR,DEPTH,MAG,C_MAG,T_MAG,CAT,INTENSITY,AREA,UF,LOCALITY_COMMENTS,,
1903,2,10,,,,-4.38,-38.97,30,0,3.9,3,mA,C,,5.5,CE,BATURITE',,
1903,2,12,,,,-4.38,-38.97,30,0,3.9,3,mA,C,,5.5,CE,BATURITE',,
1903,2,14,,,,-4.38,-38.97,30,0,4.1,3,mA,C,6,12,CE,BATURITE',,
1903,2,15,,,,-4.38,-38.97,30,0,4.1,3,mA,C,6,12,CE,BATURITE',,
1903,2,16,,,,-4.38,-38.97,30,0,4.1,3,mA,C,6,12,CE,BATURITE',,
1903,7,20,,,,-4.36,-39.32,0,0,0,-1,,C,,,CE,CANINDE',,
1905,,,15,30,,-11.2,-42.3,100,0,4.7,3,mA,B,4,140,BA,XIQUE-XIQUE,,
1905,3,12,19,,,-2.53,-44.3,0,0,0,-1,,C,,,MA,SAO LUIS SO' TEMPESTADE ?,,
1905,7,18,22,30,,-10.2,-40.4,100,0,4.8,3,mA,B,5,180,BA,"S. DO BONFIM ANO INCERTO, 1904 ?",,
1906,10,25,2,52,,-19,-57.64,0,0,4.2,3,mA,C,,20,MS,CORUMBA' REGISTRADO POR RDJ,,
1906,11,24,22,30,,-21.31,-46.8,0,0,0,-1,,C,,,MG,GUARANESIA,,
1906,12,4,11,,,-20.95,-43.8,0,0,3.2,4,mI,C,4.5,,MG,CARANDAI',,
1908,,,,,,-8.28,-35.96,0,0,0,-1,,C,,,PE,CARUARU,,
1908,4,,,,,-20.37,-43.41,0,0,0,-1,,C,,,MG,MARIANA,,
1909,12,23,,,,-2.41,-44.42,0,0,3,4,mI,C,4,,MA,ALCANTARA,,
1911,2,,,,,-13,-38.66,0,0,0,-1,,C,,,BA,I.DE ITAPAR.,,
1911,3,15,23,55,,-12.89,-38.69,20,0,3.3,3,mA,C,,0.4,BA,ITAPARICA,,
1911,3,22,18,,,-12.92,-38.67,20,0,4.4,4,mI,C,7,,BA,ITAPARICA AREA MIN.=700KM2,,
