FID,ano,mes,dia,hora,min,seg,lat,lon,erro_km,prof,mag,tipo_mag,tipo_dado,intensidad,UF,descricao,the_geom
IAG-BoletimSismicoBrasileiro.0,1720,11,23,0,0,0,-13,-38.5,0,0,0,-1,C,0,BA,SALVADOR,POINT (-13 -38.5)
IAG-BoletimSismicoBrasileiro.1,1724,1,4,10,30,0,-13,-38.5,0,0,2.8,4,C,3-4,BA,SALVADOR,POINT (-13 -38.5)
IAG-BoletimSismicoBrasileiro.2,1744,9,24,15,0,0,-15.3,-58,0,0,2.8,4,C,3-4,MT,CUIABA EFEITO DE SISMO ANDINO ?,POINT (-15.3 -58)
IAG-BoletimSismicoBrasileiro.3,1767,8,1,23,0,0,-20.31,-40.33,0,0,3.5,4,C,5,ES,VITORIA EPI.NO ALTO VIT-TRINDADE?,POINT (-20.31 -40.33)
IAG-BoletimSismicoBrasileiro.4,1789,5,9,0,0,0,-25.01,-47.94,0,0,3.7,4,C,5-6,SP,CANANEIA (SANTOS 1850),POINT (-25.01 -47.94)
IAG-BoletimSismicoBrasileiro.5,1808,8,8,11,0,0,-5.7,-37.7,100,0,4.8,3,B,6,RN,ACU,POINT (-5.7 -37.7)
IAG-BoletimSismicoBrasileiro.6,1810,4,19,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.7,1811,10,28,22,30,0,-8.08,-34.87,50,0,3.8,3,C,5,PE,RECIFE AREA IV APROX.,POINT (-8.08 -34.87)
IAG-BoletimSismicoBrasileiro.8,1811,0,0,23,0,0,-30.04,-51.3,0,0,3.5,4,C,5,RS,PORTO ALEGRE EPIC. DUVIDOSO,POINT (-30.04 -51.3)
IAG-BoletimSismicoBrasileiro.9,1815,6,0,0,0,0,-12.76,-38.49,0,0,0,-1,C,0,BA,CABOTO,POINT (-12.76 -38.49)
IAG-BoletimSismicoBrasileiro.10,1824,0,0,0,0,0,-7.59,-39.28,0,0,0,-1,C,0,CE,JARDIM FRATURA DE 30 KM ?,POINT (-7.59 -39.28)
IAG-BoletimSismicoBrasileiro.11,1824,0,0,0,0,0,-21.98,-44.88,0,0,3.2,4,C,4-5,MG,CAXAMBU,POINT (-21.98 -44.88)
IAG-BoletimSismicoBrasileiro.12,1826,0,0,0,0,0,-11.71,-47.77,0,0,2.6,4,C,3,GO,NATIVIDADE,POINT (-11.71 -47.77)
IAG-BoletimSismicoBrasileiro.13,1832,9,18,17,0,0,-12.4,-64.4,0,0,0,-1,C,0,RO,PR.DA BEIRA,POINT (-12.4 -64.4)
IAG-BoletimSismicoBrasileiro.15,1834,0,0,0,0,0,-11.71,-47.77,0,0,2.6,4,C,3,GO,NATIVIDADE,POINT (-11.71 -47.77)
IAG-BoletimSismicoBrasileiro.16,1839,7,16,2,0,0,-21.84,-45.39,0,0,3,4,C,4,MG,CAMPANHA,POINT (-21.84 -45.39)
IAG-BoletimSismicoBrasileiro.17,1840,0,0,0,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO VARIOS EVENTOS,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.18,1845,4,20,2,0,0,-25.52,-48.51,0,0,0,-1,C,0,PR,PARANAGUA A. VIEIRA DOS SANTOS 1850,POINT (-25.52 -48.51)
IAG-BoletimSismicoBrasileiro.19,1846,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.20,1852,12,2,16,30,0,-4.56,-37.76,0,0,0,-1,C,0,CE,ARACATI,POINT (-4.56 -37.76)
IAG-BoletimSismicoBrasileiro.21,1852,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.22,1854,1,10,10,0,0,-5.2,-35.46,50,0,3.7,4,C,5-6,RN,TOUROS,POINT (-5.2 -35.46)
IAG-BoletimSismicoBrasileiro.23,1855,7,25,9,0,0,-19.95,-43.48,0,0,3.5,4,C,5,MG,S.J.M.GRANDE ATUAL B. DE COCAIS,POINT (-19.95 -43.48)
IAG-BoletimSismicoBrasileiro.24,1855,0,0,0,0,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.25,1860,7,12,0,0,0,-0.86,-48.13,0,0,0,-1,C,0,PA,VIGIA,POINT (-0.86 -48.13)
IAG-BoletimSismicoBrasileiro.26,1860,10,1,0,0,0,-15.6,-56.1,0,0,0,-1,C,0,MT,CUIABA,POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.27,1861,7,30,6,0,0,-22.2,-44.95,0,0,0,-1,C,0,MG,POUSO ALTO,POINT (-22.2 -44.95)
IAG-BoletimSismicoBrasileiro.28,1861,7,31,4,0,0,-22.6,-45.2,50,0,4.4,3,B,5,SP,LORENA,POINT (-22.6 -45.2)
IAG-BoletimSismicoBrasileiro.29,1863,4,9,2,45,0,-21.93,-45.25,20,0,3.6,3,B,4,MG,CAMPANHA,POINT (-21.93 -45.25)
IAG-BoletimSismicoBrasileiro.30,1864,11,23,14,30,0,-2.53,-44.3,0,0,3.2,4,C,4-5,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.31,1864,12,27,5,0,0,-2.53,-44.3,0,0,0,-1,C,0,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.32,1867,8,0,0,0,0,-20.01,-47.4,0,0,0,-1,C,0,MG,JAGUARA VARIOS EVENTOS,POINT (-20.01 -47.4)
IAG-BoletimSismicoBrasileiro.33,1867,0,0,0,0,0,-30.1,-51.2,0,0,0,-1,C,0,RS,PORTO ALEGRE,POINT (-30.1 -51.2)
IAG-BoletimSismicoBrasileiro.34,1871,4,5,4,30,0,-3.4,-44.35,0,0,3.7,4,C,5-6,MA,ITAPICURU-M.,POINT (-3.4 -44.35)
IAG-BoletimSismicoBrasileiro.35,1871,6,14,0,0,0,-2.53,-44.3,0,0,0,-1,C,0,MA,SAO LUIS,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.36,1872,11,12,2,0,0,-18.6,-43.39,0,0,0,-1,C,0,MG,SERRO ENCHENTE E DESABAMENTO,POINT (-18.6 -43.39)
IAG-BoletimSismicoBrasileiro.37,1874,10,30,12,30,0,-23.5,-47.5,10,0,3.6,3,B,5,SP,SOROCABA,POINT (-23.5 -47.5)
IAG-BoletimSismicoBrasileiro.38,1876,6,27,21,30,0,-16.57,-57.82,0,0,3,4,C,4,MT,CAMBARA,POINT (-16.57 -57.82)
IAG-BoletimSismicoBrasileiro.39,1879,3,1,0,0,0,-15.6,-56.1,0,0,3.5,4,C,5,MT,CUIABA,POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.40,1879,7,24,20,25,0,-6,-35.5,50,0,4.3,3,B,5,RN,NATAL. Sentido forte em Areia. PB,POINT (-6 -35.5)
IAG-BoletimSismicoBrasileiro.41,1882,10,21,0,0,0,-21.79,-46.58,0,0,3,4,C,4,MG,P. DE CALDAS,POINT (-21.79 -46.58)
IAG-BoletimSismicoBrasileiro.42,1883,2,21,0,0,0,-21.86,-42.67,0,0,2.6,4,C,3,MG,A. PARAIBA,POINT (-21.86 -42.67)
IAG-BoletimSismicoBrasileiro.43,1883,8,27,20,0,0,-2.01,-54.1,0,0,0,-1,C,0,PA,MONTE ALEGRE VARIOS TREMORES,POINT (-2.01 -54.1)
IAG-BoletimSismicoBrasileiro.44,1884,7,5,7,20,0,-22.23,-45.94,0,0,0,-1,C,0,MG,POUSO ALEGRE,POINT (-22.23 -45.94)
IAG-BoletimSismicoBrasileiro.45,1885,1,29,0,0,0,-3.13,-60,0,0,0,-1,C,0,AM,MANAUS,POINT (-3.13 -60)
IAG-BoletimSismicoBrasileiro.46,1886,5,9,18,15,0,-22.66,-43.69,20,0,4.3,3,A,5,RJ,S.PEDRO-S.P. AREA IV = 4700 KM2,POINT (-22.66 -43.69)
IAG-BoletimSismicoBrasileiro.47,1887,8,27,11,20,0,-25.52,-48.51,0,0,3,4,C,4,PR,PARANAGUA',POINT (-25.52 -48.51)
IAG-BoletimSismicoBrasileiro.48,1888,5,0,7,30,0,-4.19,-38.7,0,0,3,4,C,4,CE,ACARAPE,POINT (-4.19 -38.7)
IAG-BoletimSismicoBrasileiro.49,1898,2,25,4,0,0,-26.93,-49.06,0,0,3.9,3,C,0,SC,BLUMENAU,POINT (-26.93 -49.06)
IAG-BoletimSismicoBrasileiro.50,1898,4,0,0,0,0,-20.37,-43.41,0,0,0,-1,C,0,MG,MARIANA VARIOS EVENTOS,POINT (-20.37 -43.41)
IAG-BoletimSismicoBrasileiro.51,1899,5,0,0,0,0,-18.6,-46.55,0,0,3.5,4,C,5,MG,PATOS (WILLIAMS 1922) 04.1899?,POINT (-18.6 -46.55)
IAG-BoletimSismicoBrasileiro.52,1899,12,0,0,0,0,-13.03,-39.6,0,0,3.5,4,C,5,BA,AMARGOSA,POINT (-13.03 -39.6)
IAG-BoletimSismicoBrasileiro.53,1901,4,4,16,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO OUTROS EVENTOS NO ANEXO 2,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.54,1901,4,5,8,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.55,1901,6,2,2,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.56,1901,9,4,21,0,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.57,1902,6,29,13,0,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO dois eventos neste dia,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.58,1903,2,10,0,0,0,-4.38,-38.97,30,0,3.9,3,C,0,CE,BATURITE',POINT (-4.38 -38.97)
IAG-BoletimSismicoBrasileiro.59,1903,2,12,0,0,0,-4.38,-38.97,30,0,3.9,3,C,0,CE,BATURITE',POINT (-4.38 -38.97)
IAG-BoletimSismicoBrasileiro.60,1903,2,14,0,0,0,-4.38,-38.97,30,0,4.1,3,C,6,CE,BATURITE',POINT (-4.38 -38.97)
IAG-BoletimSismicoBrasileiro.61,1903,2,15,0,0,0,-4.38,-38.97,30,0,4.1,3,C,6,CE,BATURITE',POINT (-4.38 -38.97)
IAG-BoletimSismicoBrasileiro.62,1903,2,16,0,0,0,-4.38,-38.97,30,0,4.1,3,C,6,CE,BATURITE',POINT (-4.38 -38.97)
IAG-BoletimSismicoBrasileiro.63,1903,7,20,0,0,0,-4.36,-39.32,0,0,0,-1,C,0,CE,CANINDE',POINT (-4.36 -39.32)
IAG-BoletimSismicoBrasileiro.64,1905,3,12,19,0,0,-2.53,-44.3,0,0,0,-1,C,0,MA,SAO LUIS SO' TEMPESTADE ?,POINT (-2.53 -44.3)
IAG-BoletimSismicoBrasileiro.65,1905,7,18,22,30,0,-10.2,-40.4,100,0,4.8,3,B,5,BA,S. DO BONFIM ANO INCERTO. 1904 ?,POINT (-10.2 -40.4)
IAG-BoletimSismicoBrasileiro.66,1905,0,0,15,30,0,-11.2,-42.3,100,0,4.7,3,B,4,BA,XIQUE-XIQUE,POINT (-11.2 -42.3)
IAG-BoletimSismicoBrasileiro.68,1906,10,25,2,52,0,-19,-57.64,0,0,4.2,3,C,0,MS,CORUMBA' REGISTRADO POR RDJ,POINT (-19 -57.64)
IAG-BoletimSismicoBrasileiro.69,1906,11,24,22,30,0,-21.31,-46.8,0,0,0,-1,C,0,MG,GUARANESIA,POINT (-21.31 -46.8)
IAG-BoletimSismicoBrasileiro.70,1906,12,4,11,0,0,-20.95,-43.8,0,0,3.2,4,C,4-5,MG,CARANDAI',POINT (-20.95 -43.8)
IAG-BoletimSismicoBrasileiro.71,1908,4,0,0,0,0,-20.37,-43.41,0,0,0,-1,C,0,MG,MARIANA,POINT (-20.37 -43.41)
IAG-BoletimSismicoBrasileiro.72,1908,0,0,0,0,0,-8.28,-35.96,0,0,0,-1,C,0,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.73,1909,12,23,0,0,0,-2.41,-44.42,0,0,3,4,C,4,MA,ALCANTARA,POINT (-2.41 -44.42)
IAG-BoletimSismicoBrasileiro.74,1911,2,0,0,0,0,-13,-38.66,0,0,0,-1,C,0,BA,I.DE ITAPAR.,POINT (-13 -38.66)
IAG-BoletimSismicoBrasileiro.75,1911,3,15,23,55,0,-12.89,-38.69,20,0,3.3,3,C,0,BA,ITAPARICA,POINT (-12.89 -38.69)
IAG-BoletimSismicoBrasileiro.76,1911,3,22,18,0,0,-12.92,-38.67,20,0,4.4,4,C,7,BA,ITAPARICA AREA MIN.=700KM2,POINT (-12.92 -38.67)
IAG-BoletimSismicoBrasileiro.77,1911,8,27,21,15,0,-3.1,-40.84,0,0,0,-1,C,0,CE,GRANJA DOIS EVENTOS,POINT (-3.1 -40.84)
IAG-BoletimSismicoBrasileiro.78,1912,4,18,0,0,0,-13.2,-38.89,0,0,0,-1,C,0,BA,BR.JEQUIRICA VARIOS EVENTOS,POINT (-13.2 -38.89)
IAG-BoletimSismicoBrasileiro.79,1912,4,19,8,0,0,-13.2,-38.89,0,0,3.7,4,C,5-6,BA,BR.JEQUIRICA,POINT (-13.2 -38.89)
IAG-BoletimSismicoBrasileiro.80,1912,4,19,13,0,0,-13.2,-38.89,0,0,0,-1,C,0,BA,BR.JEQUIRICA,POINT (-13.2 -38.89)
IAG-BoletimSismicoBrasileiro.81,1913,8,0,0,0,0,-6.04,-38.46,0,0,0,-1,C,0,CE,PEREIRO,POINT (-6.04 -38.46)
IAG-BoletimSismicoBrasileiro.82,1915,2,2,0,0,0,-24.18,-46.79,0,0,3.2,4,C,4-5,SP,ITANHAEM,POINT (-24.18 -46.79)
IAG-BoletimSismicoBrasileiro.83,1915,3,20,0,0,0,-19.98,-43.87,0,0,0,-1,C,0,MG,MINA M.VELHO,POINT (-19.98 -43.87)
IAG-BoletimSismicoBrasileiro.84,1915,11,6,18,30,0,-12.67,-38.63,20,0,4,3,B,6,BA,I.DAS FONTES AREA IV MM,POINT (-12.67 -38.63)
IAG-BoletimSismicoBrasileiro.85,1916,5,1,0,0,0,-7.62,-72.66,0,0,0,-1,C,0,AC,CRUZ. DO SUL,POINT (-7.62 -72.66)
IAG-BoletimSismicoBrasileiro.86,1916,6,12,13,0,0,-13.04,-39.01,0,0,0,-1,C,0,BA,NAZARE',POINT (-13.04 -39.01)
IAG-BoletimSismicoBrasileiro.87,1916,7,0,0,0,0,-15.6,-56.1,0,0,0,-1,C,0,MT,CUIABA' (OBS.D.BOSCO. CUIABA'),POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.88,1916,0,0,0,0,0,-21.26,-48.69,0,0,0,-1,C,0,SP,FERN.PRESTES,POINT (-21.26 -48.69)
IAG-BoletimSismicoBrasileiro.89,1917,5,5,7,50,0,-21.6,-41.5,50,0,4.5,3,B,5,RJ,CAMPOS,POINT (-21.6 -41.5)
IAG-BoletimSismicoBrasileiro.90,1917,11,7,23,25,0,-12.48,-38.66,10,0,4.3,3,B,6-7,BA,RIO FUNDO,POINT (-12.48 -38.66)
IAG-BoletimSismicoBrasileiro.91,1917,11,8,1,0,0,-12.45,-38.62,0,0,3.7,3,C,4,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.92,1917,11,8,7,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.93,1917,12,23,21,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.94,1917,0,0,0,0,0,-7.26,-64.79,0,0,0,-1,C,0,AM,LABREA ANO INCERTO,POINT (-7.26 -64.79)
IAG-BoletimSismicoBrasileiro.95,1918,1,0,0,0,0,-15.6,-56.1,0,0,0,-1,C,0,MT,CUIABA' (OBS.D.BOSCO. CUIABA'),POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.96,1918,1,12,11,0,0,-12.45,-38.62,0,0,3.7,4,C,5-6,BA,RIO FUNDO DOIS EVENTOS,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.97,1918,3,4,17,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.98,1918,3,22,3,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO Outro ev. `as 12 h,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.99,1918,3,27,14,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.100,1918,3,29,14,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.101,1918,4,14,7,30,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.102,1918,4,19,11,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.103,1918,6,0,0,0,0,-12.45,-38.62,0,0,0,-1,C,0,BA,RIO FUNDO VARIOS EVENTOS,POINT (-12.45 -38.62)
IAG-BoletimSismicoBrasileiro.104,1918,8,29,0,0,0,-3.69,-40.36,0,0,0,-1,C,0,CE,SOBRAL,POINT (-3.69 -40.36)
IAG-BoletimSismicoBrasileiro.105,1918,0,0,0,0,0,-8.28,-35.96,0,0,0,-1,C,0,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.106,1918,0,0,0,0,0,-23.53,-46.62,0,0,3,4,C,4,SP,SAO PAULO,POINT (-23.53 -46.62)
IAG-BoletimSismicoBrasileiro.107,1919,5,8,0,0,0,-4.36,-39.32,0,0,0,-1,C,0,CE,CANINDE',POINT (-4.36 -39.32)
IAG-BoletimSismicoBrasileiro.108,1919,6,1,21,30,0,-18,-56,100,0,4.9,3,C,5,MS,CORUMBA' SENT. CUIABA' E STA.LUZIA-GO (ATUAL LUZIANIA?),POINT (-18 -56)
IAG-BoletimSismicoBrasileiro.109,1919,6,5,4,20,0,-21.03,-44.75,0,0,3.2,4,C,4-5,MG,BOM SUCESSO OUTROS EVENTOS NO ANEXO 2,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.110,1919,7,16,14,0,0,-15.6,-56.1,0,0,0,-1,C,0,MT,CUIABA' (OBS.D.BOSCO. CUIABA'),POINT (-15.6 -56.1)
IAG-BoletimSismicoBrasileiro.111,1919,7,29,9,0,0,-12.68,-38.7,0,0,0,-1,C,0,BA,S.B.DASLAJES,POINT (-12.68 -38.7)
IAG-BoletimSismicoBrasileiro.112,1919,8,4,0,0,0,-4.36,-39.32,0,0,0,-1,C,0,CE,CANINDE',POINT (-4.36 -39.32)
IAG-BoletimSismicoBrasileiro.113,1919,8,5,9,0,0,-25.01,-47.94,0,0,0,-1,C,0,SP,CANANEIA (ALMEIDA 1963),POINT (-25.01 -47.94)
IAG-BoletimSismicoBrasileiro.114,1919,9,0,0,0,0,-17.3,-46.85,0,0,2.8,4,C,3-4,MG,PARACATU (WILLIAMS 1922),POINT (-17.3 -46.85)
IAG-BoletimSismicoBrasileiro.115,1919,11,9,14,0,0,-12.75,-38.68,20,0,3.8,3,C,4,BA,ACUPE,POINT (-12.75 -38.68)
IAG-BoletimSismicoBrasileiro.116,1919,11,10,0,0,0,-12.59,-38.62,20,0,3.6,3,C,4,BA,SANTO AMARO,POINT (-12.59 -38.62)
IAG-BoletimSismicoBrasileiro.117,1919,11,11,23,55,0,-12.68,-38.7,0,0,0,-1,C,0,BA,S.B.DASLAJES,POINT (-12.68 -38.7)
IAG-BoletimSismicoBrasileiro.118,1919,11,13,0,0,0,-12.55,-38.7,0,0,3.5,4,C,5,BA,SANTO AMARO DOIS EVENTOS,POINT (-12.55 -38.7)
IAG-BoletimSismicoBrasileiro.119,1919,11,16,9,55,0,-12.67,-38.68,20,0,3.5,3,C,5,BA,S.B.DASLAJES,POINT (-12.67 -38.68)
IAG-BoletimSismicoBrasileiro.120,1919,11,23,4,20,0,-12.65,-38.62,10,0,4.2,3,B,7,BA,M.RECONCAVO AREA IV MM,POINT (-12.65 -38.62)
IAG-BoletimSismicoBrasileiro.121,1919,11,24,6,0,0,-3.87,-38.92,50,0,4.5,3,B,4,CE,MARANGUAPE,POINT (-3.87 -38.92)
IAG-BoletimSismicoBrasileiro.122,1919,11,28,22,30,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO OUTROS EVENTOS NO ANEXO 2,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.123,1919,0,0,0,0,0,-10.91,-37.02,0,0,0,-1,C,0,SE,ARACAJU INICIO DO ANO ?,POINT (-10.91 -37.02)
IAG-BoletimSismicoBrasileiro.124,1920,1,31,11,10,0,-21.03,-44.75,10,0,4,3,B,6,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.125,1920,1,31,23,8,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.126,1920,2,1,4,35,0,-21.03,-44.75,0,0,3.2,4,C,4-5,MG,BOM SUCESSO VARIOS EVENTOS,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.127,1920,2,9,16,20,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.128,1920,2,17,2,0,0,-4.36,-39.32,0,0,0,-1,C,0,CE,CANINDE',POINT (-4.36 -39.32)
IAG-BoletimSismicoBrasileiro.129,1920,2,17,11,30,0,-21.1,-44.92,0,0,0,-1,C,0,MG,PEDRA NEGRA,POINT (-21.1 -44.92)
IAG-BoletimSismicoBrasileiro.130,1920,2,18,15,0,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.131,1920,2,21,0,0,0,-4.36,-39.32,0,0,0,-1,C,0,CE,CANINDE',POINT (-4.36 -39.32)
IAG-BoletimSismicoBrasileiro.132,1920,3,11,22,15,0,-21.03,-44.75,0,0,3,4,C,4,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.133,1921,1,21,0,0,0,-4.1,-59.35,0,0,0,-1,C,0,AM,IG.PERSEVER.,POINT (-4.1 -59.35)
IAG-BoletimSismicoBrasileiro.134,1922,0,0,0,0,0,-1.92,-55.5,0,0,0,-1,C,0,PA,OBIDOS ANO INCERTO. ANTES DE 22,POINT (-1.92 -55.5)
IAG-BoletimSismicoBrasileiro.135,1922,0,0,0,0,0,-9.38,-36.24,0,0,0,-1,C,0,AL,VICOSA ANTES DE 1922,POINT (-9.38 -36.24)
IAG-BoletimSismicoBrasileiro.136,1922,1,16,0,0,0,0,0,0,0,7.9,0,E,0,AM,MANAUS COLOMBIA M7.9. 17.01.1922,POINT (0 0)
IAG-BoletimSismicoBrasileiro.137,1922,1,27,2,0,0,-20.68,-44.58,0,0,0,-1,C,0,MG,ENTRE RIOS,POINT (-20.68 -44.58)
IAG-BoletimSismicoBrasileiro.138,1922,1,27,0,0,0,-20.68,-44.58,0,0,0,-1,C,0,MG,ENTRE RIOS DOIS EVTS.ANTES DE 03H50M,POINT (-20.68 -44.58)
IAG-BoletimSismicoBrasileiro.139,1922,1,27,6,50,40,-22.17,-47.04,40,0,5.1,3,A,6,SP,MOGI GUACU (ASSUMPCAO ET AL.1979),POINT (-22.17 -47.04)
IAG-BoletimSismicoBrasileiro.140,1922,8,1,0,0,0,-8.28,-35.96,0,0,0,-1,C,0,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.141,1922,8,8,15,30,0,-8.28,-35.96,0,0,0,-1,C,0,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.142,1924,0,0,0,0,0,-8.28,-35.96,0,0,3,4,C,4,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.143,1925,0,0,0,0,0,-8.28,-35.96,0,0,0,-1,C,0,PE,CARUARU,POINT (-8.28 -35.96)
IAG-BoletimSismicoBrasileiro.144,1926,3,1,0,0,0,3.83,-51.84,0,0,0,-1,C,0,AP,OIAPOQUE,POINT (3.83 -51.84)
IAG-BoletimSismicoBrasileiro.145,1927,0,0,3,0,0,-6.04,-38.46,0,0,3,4,C,4,CE,PEREIRO,POINT (-6.04 -38.46)
IAG-BoletimSismicoBrasileiro.146,1928,4,9,17,34,0,0,0,0,0,6.9,0,E,0,AC,XAPURI PERU-BOLIVIA,POINT (0 0)
IAG-BoletimSismicoBrasileiro.147,1928,4,15,21,59,0,-4.56,-37.76,0,0,4,3,C,6,CE,ARACATI AREA APROXIMADA,POINT (-4.56 -37.76)
IAG-BoletimSismicoBrasileiro.148,1928,6,8,21,30,0,-5.42,-39.36,0,0,3.6,3,C,3-4,CE,LACERDA,POINT (-5.42 -39.36)
IAG-BoletimSismicoBrasileiro.149,1928,9,28,0,0,0,2.82,-60.68,0,0,0,-1,C,0,RR,BOA VISTA (BSSA 18. 241),POINT (2.82 -60.68)
IAG-BoletimSismicoBrasileiro.150,1928,0,0,0,0,0,-21.82,-52.05,0,0,0,-1,C,0,SP,PR. EPITACIO ANO INCERTO,POINT (-21.82 -52.05)
IAG-BoletimSismicoBrasileiro.151,1929,10,5,0,0,0,-5.11,-38.37,0,0,0,-1,C,0,CE,MORADA NOVA,POINT (-5.11 -38.37)
IAG-BoletimSismicoBrasileiro.152,1929,0,0,0,0,0,-4.56,-37.76,0,0,0,-1,C,0,CE,ARACATI MEADOS DO ANO,POINT (-4.56 -37.76)
IAG-BoletimSismicoBrasileiro.153,1929,0,0,0,0,0,0,0,0,0,6.9,0,E,0,AC,RIO BRANCO PERU ? M6.9,POINT (0 0)
IAG-BoletimSismicoBrasileiro.154,1930,0,0,0,0,0,0.56,-29.22,0,0,0,-1,C,0,-,OC.ATLANTICO PENEDOS S.PEDRO E S.PAULO,POINT (0.56 -29.22)
IAG-BoletimSismicoBrasileiro.155,1931,7,2,0,0,0,0,0,0,0,6.2,0,E,0,AC,CRUZ. DO SUL PERU-BRASIL Mb 6.25,POINT (0 0)
IAG-BoletimSismicoBrasileiro.156,1933,5,6,0,0,0,3.83,-51.84,0,0,0,-1,C,0,AP,OIAPOQUE,POINT (3.83 -51.84)
IAG-BoletimSismicoBrasileiro.157,1934,0,0,0,0,0,-29.45,-51.5,0,0,0,-1,C,0,RS,SALV. DO SUL ANO INCERTO,POINT (-29.45 -51.5)
IAG-BoletimSismicoBrasileiro.158,1935,1,6,0,0,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO,POINT (-21.03 -44.75)
IAG-BoletimSismicoBrasileiro.159,1935,10,17,0,0,0,-21.03,-44.75,0,0,0,-1,C,0,MG,BOM SUCESSO,POINT (-21.03 -44.75)
